id	name_eng	titolo_eng	name_ita	desc_ita
167	Input impedance	Impedance that exists between the two inputs of an EEG amplifier. Measured in ohms (generally mega-ohms, MΩ) with or without the additional specification of input shunt capacitance (measured in picofarads, pF). Comment: not a synonym of electrode impedance.	Impedenza d'ingresso	Impedenza che esiste tra i due ingressi di un amplificatore EEG. Misurata in ohms (generalmente mega-Ohm, MΩ) con o senza la specifica aggiuntiva della capacità di shunt di ingresso (misurata in picofarad, pF). Commento: non è un sinonimo di impedenza dell'elettrodo.
168	Input terminal 1	The input terminal of the differential EEG amplifier at which negativity, relative to the other input terminal, produces an upward trace deflection (see polarity convention). Synonyms: “grid 1” (G1), black lead (use of terms discouraged). Comment: customarily the connection of an electrode to the input terminal 1 of the EEG amplifier is represented in diagrams as a solid line.	Terminale d'ingresso 1	Il terminale d'ingresso dell'amplificatore EEG differenziale al quale la negatività, rispetto all'altro terminale d'ingresso, produce una deflessione della traccia verso l'alto (vedi convenzione di polarità). Sinonimi: “griglia 1” (G1), cavo nero (l'uso dei termini è sconsigliato). Commento: di solito il collegamento di un elettrodo al terminale d'ingresso 1 dell'amplificatore EEG è rappresentato nei diagrammi come una linea continua.
169	Input terminal 2	The input terminal of the differential EEG amplifier at which negativity, relative to the other input terminal, produces a downward trace deflection (see polarity convention). Synonyms: “grid 2” (G2), white lead (use of terms discouraged). Comment: the connection of an electrode to the input terminal 2 of the EEG amplifier is represented in diagrams as a dotted or dashed line.	Terminale d'ingresso 2	Il terminale d'ingresso dell'amplificatore EEG differenziale al quale la negatività, rispetto all'altro terminale d'ingresso, produce una deflessione della traccia verso il basso (vedi convenzione di polarità). Sinonimi: “griglia 2” (G2), “cavo bianco” (l'uso dei termini è sconsigliato). Commento: il collegamento di un elettrodo al terminale d'ingresso 2 dell'amplificatore EEG è rappresentato nei diagrammi come una linea tratteggiata o punteggiata.
170	Input voltage	Potential difference between the two input terminals of a differential EEG amplifier (see differential amplifier).	Tensione d'ingresso	Differenza di potenziale tra i due terminali d'ingresso di un amplificatore EEG differenziale (vedi amplificatore differenziale).
171	Inter-electrode distance	Spacing between pairs of electrodes. Comment: distances between adjacent electrodes placed according to the standard 10–20 system or more closely spaced electrodes are frequently referred to as short or small inter-electrode distances (i.e. 10–10 system). Larger distances (such as double) between standard electrode placements are often termed widely spaced, long or large inter-electrode distances.	Distanza inter-elettrodo	Distanza tra coppie di elettrodi. Commento: le distanze tra elettrodi adiacenti posizionati secondo il sistema standard 10-20 o gli elettrodi più ravvicinati sono spesso indicate come distanze inter-elettrodiche brevi (per esempio secondo il sistema 10-10). Distanze maggiori (fino al doppio) tra elettrodi posizionati secondo il sistema standard sono spesso definite distanze inter-elettrodiche ampie o molto ampie.
172	Interhemispheric derivation	Recording between a pair of electrodes located on opposite sides of the head (for example F3-F4).	Derivazione interemisferica	Registrazione tra una coppia di elettrodi situati su lati opposti del capo (per esempio F3-F4).
173	Intermittent photic stimulation	Delivery of intermittent flashes of light to the eyes of a subject. Used as EEG activation procedure. Synonym: photic stimulation (PS).	Stimolazione luminosa intermittente	Erogazione di flash luminosi intermittenti davanti agli occhi di un soggetto. Utilizzata come prova di attivazione EEG. Sinonimo: stimolazione luminosa (PS, photic stimulation).
174	Intermittent slow activity	Slow EEG activity that occurs intermittently and is not caused by drowsiness (usually >100 µV). Intermittent slow activity varies by more than 50% or regresses completely between times of its appearance, and can be polymorphic, arrhythmic or rhythmical (see continuous slow activity).	Attività lenta intermittente	Attività EEG lenta che si manifesta in modo intermittente e non è causata dalla sonnolenza (di solito > 100 µV). L'attività lenta intermittente varia di più del 50% oppure può regredire completamente tra una comparsa e l'altra e può essere polimorfa, aritmica o ritmica (vedi attività lenta continua).
175	Intracerebral depth electroencephalogram	See: depth electroencephalogram.	Elettroencefalogramma intracerebrale di profondità	Vedi: elettroencefalogramma di profondità.
176	Intracerebral electrode	Various conducting devices for recording EEG from the surface or within the substance of the brain. Examples include epicortical/subdural, epidural, foramen ovale, and stereotactic [stereotaxic] implanted depth electrodes. Synonym: depth electrode.	Elettrodo intracerebrale	Dispositivi di vario tipo idonei per la registrazione dell'EEG dalla superficie o all'interno delle strutture cerebrali. Esempi: elettrodi di profondità impiantati con modalità stereotassica. Sinonimo: elettrodo di profondità.
177	Irregular	Applies to EEG waves and complexes of inconstant period and/or uneven contour or morphology.	Irregolare	Si applica a onde e complessi EEG con un incostante periodismo e/o morfologia irregolare.
178	Isoelectric	(1) The record obtained from a pair of equipotential electrodes (see equipotential). (2) Use of term discouraged when describing record of electrocerebral inactivity (see electrocerebral inactivity).	Isoelettrico	(1) la registrazione ottenuta da una coppia di elettrodi equipotenziali (vedi equipotenziale); (2) l'uso del termine è sconsigliato quando si descrivono registrazioni di inattività elettrocerebrale (vedi inattività elettrocerebrale).
179	Isolated	Occurring singly.	Isolato	Che si verifica singolarmente.
180	Isopotential	See synonym equipotential.	Isopotenziale	Sinonimo di equipotenziale (vedi).
181	K complex	A normal graphoelement. A well delineated negative sharp wave followed by a positive component standing out from the background EEG, with total duration ≥0.5 s, usually maximal in amplitude when recorded from fronto-central derivations and often associated with a sleep spindle. (See vertex sharp transient or vertex sharp wave).	Complesso K	Grafoelemento normale. Un'onda aguzza negativa ben definita seguita da una componente positiva che si distingue dall'attività di fondo, con durata totale ≥ 0,5 s, solitamente di ampiezza massima quando registrata dalle derivazioni fronto-centrali e spesso associata a un fuso del sonno. (Vedi punte al vertice).
182	Lambda wave	A normal graphoelement. Diphasic sharp transient occurring over the occipital regions of the head of awake subjects during visual exploration. The main component is positive relative to other areas. Time-locked to saccadic eye movements. Amplitude varies but is generally below 50 µV. Greek letter: λ (note morphology resembling the Greek capital letter lambda).	Onda lambda	Grafoelemento normale. Onda a morfologia bifasica che compare sulle regioni occipitali nei soggetti in veglia durante l'esplorazione visiva. La componente principale è positiva. È temporalmente correlata ai movimenti oculari saccadici. L'ampiezza varia ma è generalmente inferiore a 50 µV. Lettera greca: λ (la morfologia dell’onda è simile alla lettera greca lambda).
183	Laplacian montage	Montage that consists of a mathematical transformation involving the second spatial derivative; the Laplacian source of the potential may be approximated by using the weighted average of all the neighbouring electrodes as a reference for each site or electrode. This montage may be used for localization of focal abnormalities on digital EEG (see common average reference).	Montaggio laplaciano	Montaggio che è il risultato di una trasformazione matematica relativa alla seconda derivata spaziale; la sorgente laplaciana del potenziale può essere approssimata usando la media ponderata di tutti gli elettrodi circostanti come referenza per ogni sito o elettrodo. Questo montaggio può essere utilizzato per la localizzazione di anomalie focali sull'EEG digitale (vedi referenza comune media).
184	Lateralized	Independently involving the right and/or left side of the head (or body) (see unilateral).	Lateralizzato	Coinvolgimento indipendente del lato destro e/o sinistro del capo (o del corpo) (vedi unilaterale).
185	Lateralized periodic discharges (LPDs)	LPDs are unilateral surface negative discharges of spike, sharp or sharp slow-wave polyphasic morphology, usually lasting from 100 to 300 ms that typically recur at quasiperiodic intervals of up to 3/s. The incidence of clinical or electrographic seizures associated with LPDs is high, ranging from 50 to 100%, but there is debate as to whether they represent seizures proper. When contralateral motor movements are time-locked to LPDs they are considered to represent seizure patterns. Most LPDs are ephemeral phenomena occurring with both acute focal destructive lesions (for example cerebral infarcts, tumors or herpes simplex encephalitis) and more subacute/chronic pathologies (for example epilepsy and vascular compromise). Synonym: periodic lateralised epileptiform discharges (use of term discouraged). (See discharge, periodic discharges).	Scariche periodiche lateralizzate (LPDs, lateralized periodic discharges)	Sono scariche unilaterali a polarità negativa, caratterizzate da punte, onde puntute o complessi onda puntuta-onda-lenta a morfologia polifasica, della durata da 100 a 300 ms, che tipicamente ricorrono a intervalli quasi periodici fino a 3 Hz. L'incidenza di crisi cliniche o elettriche associate alle LPDs è elevata, dal 50 al 100%, ma è controverso se le LPDs abbiano un significato critico di per sé. Tuttavia, nel caso in cui siano temporalmente correlate a dei movimenti involontari controlaterali, esse rappresentano un pattern critico. La maggior parte delle LPDs sono manifestazioni transitorie in correlazione con lesioni cerebrali focali acute (per esempio infarti cerebrali, tumori o encefalite da herpes simplex) o con patologie subacute/croniche (per esempio epilessia da encefalopatia vascolare). Sinonimo: scariche epilettiformi periodiche lateralizzate (l'uso del termine è sconsigliato). (Vedi scarica, scariche periodiche).
186	Lead	Strictly: wire connecting an electrode to the electroencephalograph. Loosely: synonym of electrode, its wire and connector.	Cavo	In senso stretto, filo che collega un elettrodo all'elettroencefalografo. In senso lato, sinonimo di elettrodo, del suo filo e connettore.
187	Light sleep	Non-REM (NREM) sleep stages N1 and N2, which are characterized by sinusoidal eye movements, low amplitude mixed frequency EEG activity, vertex sharp waves, K complexes and sleep spindles. (See deep sleep).	Sonno leggero	È costituito dallo stadio N1 e N2 del sonno non REM (NREM), caratterizzato da movimenti oculari sinusoidali, attività EEG di bassa ampiezza e frequenza mista, punte al vertice, complessi K e fusi del sonno (vedi sonno profondo).
188	Linkage	The connection of a pair of electrodes to the two respective input terminals of a differential EEG amplifier (see derivation).	Collegamento	Connessione di una coppia di elettrodi ai due rispettivi terminali di ingresso di un amplificatore EEG differenziale (vedi derivazione).
189	Longitudinal bipolar montage	A montage consisting of contiguous channels of electrode pairs along longitudinal, mainly antero-posterior, arrays (for example, Fp1-F3, F3-C3, C3-P3, P3-O1 etc). Synonym: “double-banana” montage.	Montaggio longitudinale bipolare	Montaggio costituito da coppie di elettrodi di canali contigui a disposizione longitudinale, tipicamente in senso antero-posteriore (per esempio, Fp1-F3, F3-C3, C3-P3, P3-O1 ecc.) Sinonimo: montaggio “doppia banana”.
190	Low frequency filter (high pass filter)	A circuit that reduces the sensitivity of the EEG signal to relatively low frequencies (for example below 0.5 Hz). For each position of the low frequency filter control, this attenuation is expressed as percent reduction of the signal at a given stated frequency, relative to frequencies unaffected by the filter, i.e. in the mid-frequency band of the channel. Comment: at present low frequency filter designations and their significance are not yet standardized for instruments of different manufacturers. For instance, in a given instrument a low frequency filter setting designated 1 Hz may indicate a 30% (3 dB), or other stated percent, reduction in sensitivity at 1 Hz, compared to the sensitivity for example at 10 Hz. The same position of the low frequency filter setting may also be designated by the time constant. Synonym: high pass filter.	Filtro basse frequenze (filtro passa alto)	Sistema che riduce la sensibilità del segnale EEG alle frequenze relativamente basse (per esempio inferiori a 0,5 Hz). Il filtro è espresso come riduzione percentuale del segnale a una data frequenza dichiarata, rispetto alle frequenze non influenzate dal filtro, cioè nella banda delle frequenze medie del canale. Commento: attualmente le denominazioni dei filtri a bassa frequenza ed il loro significato non sono ancora standardizzati per strumenti di diversi produttori. Per esempio, in un dato strumento l'impostazione del filtro a 1 Hz può indicare una riduzione del 30% (3 dB) della sensibilità a 1 Hz, o un'altra percentuale dichiarata, rispetto alla sensibilità per esempio a 10 Hz. La stessa impostazione del filtro a bassa frequenza può anche essere designata dalla costante di tempo. Sinonimo: filtro passa alto.
191	Low frequency response	Sensitivity of an EEG channel to relatively low frequencies. Determined by the low frequency response of the amplifier and by the low frequency filter (time constant) used. Expressed as percent reduction in output trace deflection at certain stated low frequencies, relative to other frequencies in the mid-frequency band of the channel (see low frequency filter, time constant).	Risposta alle basse frequenze	Sensibilità di un canale EEG a frequenze relativamente basse; determinata dalla risposta alle basse frequenze dell'amplificatore e dal filtro utilizzato per le basse frequenze (costante di tempo); espressa come riduzione percentuale della deflessione della traccia di output a specifiche basse frequenze, rispetto ad altre frequenze nel range delle medie frequenze di un canale (vedi filtro basse frequenze, costante di tempo).
192	Low pass filter	Synonym: high frequency filter.	Filtro passa-basso	Sinonimo: filtro ad alta frequenza.
193	Low voltage EEG	A normal variant. Waking record characterized by activity of amplitude not greater than 20 µV over all head regions. With appropriate instrumental sensitivities this activity can be shown to be composed primarily of beta, theta and, to a lesser degree, delta waves, with or without alpha activity over the posterior areas. Comments: (1) low voltage EEGs are susceptible to change under the influence of certain physiological stimuli, sleep, pharmacological agents and pathological processes. (2) They should be clearly distinguished from tracings of electrocerebral inactivity, suppression and low voltage fast activity (see electrocerebral inactivity, suppression and low voltage fast activity).	EEG di basso voltaggio	Una variante normale. Registrazione in veglia caratterizzata da un'attività di ampiezza non superiore a 20 µV su tutte le derivazioni. Con la sensibilità appropriata, si può dimostrare che questa attività è composta principalmente dalla banda beta, theta e, in minor misura, delta, con o senza attività alfa sulle derivazioni posteriori. Commenti: (1) le registrazioni EEG di basso voltaggio sono maggiormente suscettibili di modificazione sotto l'influenza di alcuni stimoli fisiologici, sonno, agenti farmacologici e processi patologici; (2) devono essere chiaramente distinti dai tracciati caratterizzati da inattività elettrocerebrale, soppressione e attività rapida di basso voltaggio (vedi inattività elettrocerebrale, soppressione e attività rapida di basso voltaggio).
194	Low voltage fast activity	Refers to fast activity (beta rhythm and above), often recruiting, which can be recorded at the onset of an ictal discharge, particularly in intra-cranial depth EEG recording of a seizure.	Attività rapida di basso voltaggio	Si riferisce all'attività rapida (ritmo beta o superiore), spesso reclutante, che può essere registrata all'inizio di una scarica critica, in particolare nelle registrazioni EEG mediante elettrodi di profondità intracranici di una crisi.
195	Magnetoencephalography (MEG)	Recording of magnetic fields generated from the cortical neurons.	Magnetoencefalografia (MEG)	Registrazione dei campi magnetici generati dai neuroni corticali.
196	Map, voltage	Topographical display of the voltage distribution on the scalp, using equipotential lines and color-codes to express the steps of gradient changes between the peak negativity and the peak positivity. The voltage difference between peak negativity and peak positivity is 100%, and the fall-off of the potential is shown in arbitrary steps of, for example, 10% of the maximum amplitude. Usually blue color symbolizes negativity, and red color positivity. Inspecting voltage maps allows estimation of the location and orientation of the source. Comment: it is recommended to calculate voltage maps using common average reference (that include all electrodes on the scalp and preferably the inferior temporal electrode chain too). (See Quantitative EEG). Synonyms: diagram of equipotential lines, isopotential map or amplitude map.	Mappa, voltaggio	Visualizzazione topografica della distribuzione del voltaggio sullo scalpo, mediante linee di equipotenziale e un codice colore che esprime i cambiamenti di gradiente nel passaggio da un picco negativo ad uno positivo. La differenza di voltaggio tra un picco negativo ed uno positivo è il 100%, mentre la modificazione del potenziale è mostrata, per esempio, in una scala arbitraria con step del 10% dell'ampiezza massima. Di solito il colore blu simboleggia la negatività, e il colore rosso la positività. La valutazione delle mappe permette la stima della posizione e dell'orientamento della sorgente. Commento: si raccomanda di calcolare le mappe di voltaggio usando una referenza media comune (che include tutti gli elettrodi sullo scalpo e preferibilmente anche la serie di elettrodi sulle regioni temporali inferiori. (Vedi EEG quantitativo). Sinonimi: diagramma con le linee equipotenziali, mappa isopotenziale o mappa di ampiezza.
197	Mismatch negativity (MMN)	Is an automatic (i.e. attention independent) event-related response to physically deviant auditory stimuli occurring among frequent (standard) stimuli (e.g. tones or phonetic stimuli). MMN is a surface negative potential with an onset latency of about 130 ms and lasting 250–300 ms, with maximal amplitude over the fronto-central region. (See event-related potential).	Mismatch negativity (MMN)	È una risposta evento-correlata automatica (cioè indipendente dall'attenzione) a stimoli uditivi fisicamente devianti che si verificano tra gli stimoli frequenti (standard) (per esempio toni o stimoli fonetici). La MMN è un potenziale negativo di superficie con una latenza di circa 130 ms e una durata di 250-300 ms, con ampiezza massima sulle regioni fronto-centrali. (Vedi potenziale evento-correlato).
198	Monorhythmic delta activity	A normal graphoelement in preterm infants (24–34 weeks of post menstrual age). Characterized by relatively stereotyped delta activity (up to 200 µV) predominantly over the posterior regions (occipital, temporal and central).	Attività delta monoritmica	Grafoelemento normale nei neonati pretermine (24-34 settimane di età gestazionale). È caratterizzata da un'attività delta relativamente stereotipata (fino a 200 µV) prevalente sulle regioni posteriori (occipitale, temporale e centrale).
199	Montage	The arrangement or array of channels on the EEG machine display, defined by the exploring and reference electrodes (for example see bipolar and referential montages).	Montaggio	Disposizione dei canali sul monitor del sistema EEG, costituito dagli elettrodi registranti e di riferimento (per esempio vedi montaggi bipolari e referenziali).
200	Morphology	Refers to the form of EEG waves (i.e. their shape and physical characteristics).	Morfologia	Si riferisce alla forma delle onde EEG (cioè forma e caratteristiche fisiche).
201	Motor evoked potential (MEP)	Evoked potential recorded from muscle following direct stimulation of the exposed motor cortex, or transcranial stimulation of the motor cortex, either magnetically or electrically.	Potenziale evocato motorio (PEM)	Potenziale registrato da un muscolo ed evocato dalla stimolazione diretta della corteccia motoria esposta, o dalla stimolazione transcranica, sia magnetica che elettrica, della corteccia motoria.
202	Mu rhythm	Rhythm at 7–11 Hz, composed of arch-shaped waves occurring over the central or centro-parietal regions of the scalp during wakefulness. Amplitude varies but is mostly below 50 µV. Blocked or attenuated most clearly by contralateral movement, thought of movement, readiness to move or tactile stimulation. Greek letter: μ. Synonyms: rhythm rolandique en arceau, comb rhythm (use of terms discouraged).	Ritmo mu	Ritmo a 7-11 Hz, composto da onde a forma di arco che si registra sulle derivazioni centrali o centro-parietali dello scalpo e in veglia. L'ampiezza varia ma è per lo più inferiore a 50 µV. È bloccato o almeno attenuato per lo più dal movimento controlaterale, dall'ideazione del movimento, dalla preparazione al movimento o dalla stimolazione tattile. Lettera greca: μ. Sinonimi: ritmo rolandico en arceau, ritmo a pettine (l'uso dei termini è sconsigliato).
203	Multifocal	Three or more spatially separated independent foci (see focal).	Multifocale	Presenza di tre o più focolai indipendenti e spazialmente separati (vedi focale).
204	Multiple spike-and-slow-wave complex	Use of term discouraged. An epileptiform graphoelement consisting of two or more spikes associated with one or more slow waves (see epileptiform pattern). Synonym: polyspike and-slow-wave complex (preferred term).	Complessi di punta e onda lenta multipli	L'uso del termine è sconsigliato. Grafoelemento epilettiforme che consiste in due o più punte associate a una o più onde lente (vedi anomalia epilettiforme). Sinonimo: complesso di polipunte e onde lente (termine preferito).
205	Multiple spike complex	Use of term discouraged. A sequence of two or more spikes. Synonym: polyspike complex (preferred term).	Complesso di punte multiple	L'uso del termine è sconsigliato. Una sequenza di due o più punte. Sinonimo: complesso di polipunte (termine consigliato).
206	Multiregional	Three or more lobar foci (see regional).	Multiregionale	Tre o più focolai lobari (vedi regionale).
207	Nasopharyngeal electrode	Rod electrode introduced through the nose and placed against the nasopharyngeal wall with its tip lying near the body of the sphenoid bone. (See basal electrode).	Elettrodo nasofaringeo	Elettrodo introdotto attraverso le cavità nasali e posizionato contro la parete nasofaringea con la sua estremità vicino al corpo dell'osso sfenoide (vedi elettrodo basale).
208	Needle electrode	Small needle inserted into the subdermal layer of the scalp.	Elettrodo ad ago	Piccolo ago inserito nello strato subdermico dello scalpo.
209	Noise, EEG channel	Small fluctuating output of an EEG channel recorded when high sensitivities are used, even if there is no input signal. Measured in microvolts (µV), referenced to the input.	Rumore, canale EEG	Segnale in uscita (output) da un canale EEG, di modesta entità e fluttuante, registrato quando si usano alte sensibilità, anche se non c'è alcun segnale in ingresso (input). Misurato in microvolt (µV), riferito all'input.
210	Non-cephalic reference	Reference electrode that is placed on body parts other than the head (for example sternospinal reference).	Referenza non-cefalica	Elettrodo di riferimento che viene posto su parti diverse del corpo (per esempio riferimento sternospinale).
211	Non-REM sleep (NREM)	Term summarizing all sleep stages except REM sleep (see REM sleep).	Sonno non REM (NREM)	Termine che riassume tutte le fasi del sonno tranne il sonno REM (vedi sonno REM).
212	Notch filter	A filter that selectively attenuates a very narrow frequency band, thus producing a sharp notch in the frequency response of an EEG signal. Commonly applied to attenuate electrical noise from mains interference (the frequency of which differs between countries, 50 or 60 Hz), which may occur under unfavorable technical conditions.	Filtro notch	Filtro che attenua selettivamente un intervallo di frequenza molto ristretto producendo così un taglio netto di quella frequenza nel segnale EEG. Comunemente applicato per attenuare il rumore elettrico da interferenze di rete (la cui frequenza varia tra Paesi, 50 o 60 Hz), che può verificarsi in condizioni tecniche sfavorevoli.
213	Nyquist theorem	Accurate digital representation of an EEG signal requires that the sampling rate is at least twice the highest frequency of the signal, i.e. a frequency component of 30 Hz requires at least a sampling rate of 60 Hz. Comment: sampling at twice the Nyquist frequency only ensures an accurate representation of frequency content. Tolerable reproduction of waveforms requires at least a sampling rate 5 times above the fastest frequency components present.	Teorema di Nyquist	Una registrazione digitale accurata di un segnale EEG richiede che la frequenza di campionamento sia almeno il doppio della frequenza più alta contenuta nel segnale, per es. la registrazione di una frequenza pari a 30 Hz richiede almeno una frequenza di campionamento di 60 Hz. Commento: il campionamento al doppio della frequenza di Nyquist assicura solo una registrazione accurata delle frequenze contenute in quel segnale. Una riproduzione accettabile della forma di un'onda richiede invece una frequenza di campionamento 5 volte superiore alle frequenze più alte.
214	Occipital intermittent rhythmic delta activity (OIRDA)	Fairly regular or approximately sinusoidal waves, mostly occurring in bursts at 2–3 Hz over the occipital areas of one or both sides of the head. Frequently blocked or attenuated by eye opening. An abnormal pattern seen in children’s EEGs more frequently than adults, often but not exclusively in association with genetic generalized epilepsies.	Attività delta ritmica intermittente occipitale (OIRDA, occipital intermittent rhythmic delta activity)	Attività abbastanza regolare e simil-sinusoidale, tipicamente in sequenze a circa 2-3 Hz, che compare sulle derivazioni occipitali, sia mono che bilaterale; spesso bloccata o attenuata dall'apertura degli occhi. Si tratta di un pattern EEG anormale, più comune nei bambini che negli adulti, che spesso, ma non esclusivamente, si associa alle epilessie generalizzate genetiche.
215	Ohmmeter	An instrument used to measure resistance (see electrode resistance).	Ohmmetro	Uno strumento usato per misurare la resistenza elettrica (vedi resistenza degli elettrodi).
216	Ordinate period	Time in milliseconds (ms) elapsing between two successive sampling points in digital EEG. (See bin width).	Periodo di campionamento	Tempo in millisecondi (ms) che intercorre tra due punti di campionamento successivi nell'EEG digitale. (Vedi dimensione del bin).
217	Organization	Degree to which the posterior dominant rhythm (PDR) conforms to certain characteristics displayed by a majority of subjects in the same age group, without personal or family history of neurologic and psychiatric diseases, or other illnesses that might be associated with dysfunction of the brain. Comments: the organization of PDR progresses from birth to adulthood.	Organizzazione	Valutazione del grado di conformità del ritmo posteriore dominante (PDR, posterior dominant rhythm) a certe caratteristiche comuni alla maggioranza dei soggetti della stessa fascia d'età, senza storia personale o familiare di malattie neurologiche e psichiatriche, o altre malattie che potrebbero essere associate a disfunzioni cerebrali. Commenti: l'organizzazione del PDR si modifica nel corso della vita, dalla nascita all'età adulta.
218	Out-of-phase signals	Two waves of opposite phases (see differential signal; phase reversal - not a synonym).	Segnale fuori fase	Due onde caratterizzate da fase opposta (vedi segnale differenziale; il termine “inversione di fase” non è un sinonimo).
219	Output voltage	The voltage across the trace display of an EEG channel.	Voltaggio in uscita	Voltaggio rappresentato nella traccia di un canale EEG.
220	Overbreathing	Synonym: hyperventilation.	Iperpnea	Sinonimo: iperventilazione.
221	Overload	Condition caused by applying voltage differences which are larger than the channel is designed for or set to handle by the input terminals of an EEG amplifier. Displays clipping of EEG waves and/or blocking of the amplifier depending on its magnitude (see clipping, blocking).	Sovraccarico	Condizione causata dall'applicazione di una differenza di potenziale superiore a quella per cui il canale dell'amplificatore EEG è progettato o impostato. La visualizzazione del tracciato EEG viene interrotta e/o l'amplificatore si blocca, a seconda dell'ordine di grandezza del sovraccarico (vedi clipping, blocco).
222	P3 or P300	Is an event-related potential response usually elicited using the oddball paradigm, in which low-probability target stimuli are mixed with high-probability non-target (or standard) stimuli. P3 is a surface positive potential with an onset latency of about 250 to 500 ms and maximal amplitude over the centro-parietal region, with two subcomponents denoted P3a and P3b. Synonym: late positive component (LPC). (See event-related potential).	P3 o P300	È un potenziale evento-correlato, elicitato da stimoli rilevanti rari (paradigma oddball), caratterizzati da stimoli target a bassa probabilità mescolati a stimoli non target ad alta probabilità (o standard). P3 è un potenziale positivo con una latenza a circa 250-500 ms e un'ampiezza massima sulle regioni centro-parietali, composto da due sottocomponenti denominate P3a e P3b. Sinonimo: componente positiva tardiva (LPC, late positive component). (Vedi potenziale evento-correlato).
223	Pad electrode	Metal electrode covered with a cotton or felt and gauze pad, held in position by a head cap or harness.	Elettrodo a tampone	Elettrodo metallico coperto da un cuscinetto di cotone, feltro o garza, tenuto in posizione da una cuffia.
224	Paper speed	Velocity of movement of paper through an analogue EEG machine. Expressed in centimeters per second (cm/s) or millimeters per second (mm/s). Synonym: time base (in digital EEG).	Velocità di scorrimento della carta	Velocità di avanzamento della carta attraverso un elettroencefalografo analogico. Espressa in centimetri al secondo (cm/s) o millimetri al secondo (mm/s). Nell'EEG digitale si fa riferimento alla base dei tempi.
225	Paroxysm	Graphoelement phenomenon with sudden onset, rapid attainment of a maximum, and abrupt termination; distinguished from background activity. Comment: commonly used to refer to epileptiform and seizure patterns (see epileptiform pattern and seizure pattern).	Parossismo	Comparsa improvvisa di un grafoelemento che rapidamente raggiunge il massimo, cessa bruscamente e si distingue dall'attività di fondo. Commento: tipicamente si riferisce a un pattern epilettiforme e a un pattern critico (vedi).
226	Paroxysmal fast	Fast frequencies in the beta range or above occurring in trains (see paroxysm, low voltage fast activity).	Attività rapida parossistica	Treni di attività di frequenza beta o superiore (vedi parossismo, attività rapida di basso voltaggio).
227	Pattern	Any characteristic regular or repetitive EEG activity of approximately constant period (see regular and rhythmic).	Pattern	Qualsiasi attività EEG regolare o ripetitiva con un periodo approssimativamente costante (vedi regolare e ritmico).
228	Peak	Point of maximum amplitude of a wave.	Picco	Punto di massima ampiezza di un'onda.
229	Period	Duration of complete cycle of individual graphoelement in a sequence of regularly repeated EEG waves or complexes. Comment: the period of the graphoelement of an EEG rhythm is the reciprocal of the frequency of the rhythm. (For example, the duration of a spike-and-slow-wave complex in 3 c/s spike-and-slow-waves is 1/3 = 0.333).	Periodo	Durata del ciclo completo di un singolo grafoelemento in una sequenza di onde o complessi EEG che si ripetono con regolarità. Commento: il periodo di un grafoelemento in un ritmo EEG è il reciproco della frequenza del ritmo (per esempio, la durata di un complesso punta-onda-lenta in una sequenza a 3 Hz è 1/3 = 0,333).
230	Periodic	Applies to: (1) EEG waves or complexes occurring in a sequence at an approximately regular rate, (2) EEG waves or complexes occurring intermittently at approximately regular intervals, generally of one to several seconds. (See periodic discharges).	Periodico	Si applica a: (1) onde o complessi EEG che si ripetono in una sequenza ad intervalli per lo più regolari; (2) onde o complessi EEG intermittenti che si ripetono ad intervalli approssimativamente regolari, generalmente da uno a diversi secondi. (Vedi scariche periodiche).
231	Periodic discharges (PDs)	Repetition of a waveform with relatively uniform morphology and duration, with a quantifiable inter-discharge interval between consecutive waveforms, and recurrence of the waveform at nearly regular intervals. Comments: PDs may be generalized (GPDs), lateralized (LPDs), bilateral independent (BIPDs). Old nomenclature for these new terms are GPEDs (=GPDs), PLEDs (=LPDs) and BIPLEDs (=BIPDs). The use of “epileptiform” as an interpretative term is now avoided, since these periodic patterns may or may not be associated with clinical seizures (Hirsch et al., 2013).	Scariche periodiche (PDs, periodic discharges)	Ripetizione di grafoelementi a morfologia e durata relativamente uniforme, con un intervallo interscarica quantificabile e ripetizione a intervalli quasi regolari. Commenti: Le PDs possono essere generalizzate (GPDs, generalized periodic discharges), lateralizzate (LPDs, lateralized periodic discharges), bilaterali indipendenti (BIPDs, bilateral independent periodic discharges). La precedente nomenclatura comprendeva i termini di GPEDs (= GPDs), PLEDs (= LPDs) e BIPLEDs (= BIPDs) (N.d.T.: nell’acronimo “E” sta per epilettiforme). L'uso del termine “epilettiforme” è sconsigliato, poiché questi pattern periodici possono essere o no associati a crisi cliniche (Hirsch et al., 2013).
232	Periodic lateralized epileptiform discharges (PLEDs)	Use of term discouraged. See lateralized periodic discharges (preferred term).	Scariche epilettiformi periodiche lateralizzate (PLEDs, periodic lateralized epileptiform discharges)	L'uso del termine è sconsigliato. Vedi scariche periodiche lateralizzate (termine consigliato).
233	Phase	(1) Time or polarity relationships between a point on a wave displayed in a derivation and the identical point on the same wave recorded simultaneously in another derivation. (2) Time or angular relationships between a point on a wave and the onset of the cycle of the same wave. Usually expressed in degrees or radians.	Fase	(1) relazione temporale o di polarità tra un punto di un'onda registrata su una derivazione e un punto identico sulla medesima onda simultaneamente registrata su un'altra derivazione; (2) relazione temporale o angolare tra un punto su un'onda e l'inizio del ciclo della stessa onda; solitamente viene espresso in gradi o radianti.
